track_name,artists,track_genre,popularity,danceability,energy,valence,tempo,popularity_tier,energy_category
Sky's Still Blue,Andrew Belle,acoustic,62,0.43,0.791,0.217,171.864,Medium,High Energy
And I Love Her,Kurt Cobain,acoustic,66,0.616,0.282,0.435,96.638,Medium,Low Energy
We Can't Stop,Boyce Avenue;Bea Miller,acoustic,64,0.705,0.347,0.36,80.057,Medium,Medium Energy
Always Be My Baby,Tim Halperin,acoustic,62,0.582,0.255,0.285,139.884,Medium,Low Energy
Alone with You,Canyon City,acoustic,58,0.549,0.274,0.207,86.664,Medium,Low Energy
Making All Things New,Aaron Espe,acoustic,65,0.787,0.355,0.48,99.978,Medium,Medium Energy
She Used To Be Mine,Sara Bareilles,acoustic,67,0.397,0.303,0.172,81.05,High,Low Energy
In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,65,0.548,0.42,0.196,128.012,Medium,Medium Energy
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,44,0.787,0.403,0.264,118.042,Medium,Medium Energy
A Drop In the Ocean,Ron Pope,acoustic,55,0.484,0.573,0.346,139.966,Medium,Medium Energy
Superman (It's Not Easy),Five For Fighting,acoustic,70,0.382,0.416,0.125,102.089,High,Medium Energy
When the End Comes,Andrew Belle,acoustic,57,0.541,0.575,0.428,91.98,Medium,Medium Energy
You're Still The One,Bailey Jehl,acoustic,56,0.607,0.473,0.54,119.698,Medium,Medium Energy
Light Me Up,Ingrid Michaelson,acoustic,56,0.417,0.595,0.117,147.928,Medium,Medium Energy
93 Million Miles,Jason Mraz,acoustic,67,0.572,0.454,0.515,140.182,High,Medium Energy
Kaleidoscope,A Great Big World,acoustic,62,0.709,0.913,0.519,108.024,Medium,High Energy
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,45,0.537,0.342,0.253,109.236,Medium,Medium Energy
What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,64,0.602,0.336,0.335,90.894,Medium,Medium Energy
Have It All,Jason Mraz,acoustic,65,0.643,0.638,0.6,82.001,Medium,Medium Energy
Society,Eddie Vedder,acoustic,68,0.561,0.327,0.298,161.858,High,Low Energy
Guaranteed,Eddie Vedder,acoustic,61,0.436,0.4,0.351,100.734,Medium,Medium Energy
Brave,Sara Bareilles,acoustic,70,0.551,0.836,0.758,185.063,High,High Energy
Heaven Knows,Five For Fighting,acoustic,62,0.6,0.845,0.392,97.631,Medium,High Energy
Rain,Motohiro Hata,acoustic,58,0.626,0.655,0.542,92.003,Medium,Medium Energy
Somebody Else - Acoustic,Callum J Wright,acoustic,50,0.794,0.38,0.617,114.99,Medium,Medium Energy
Pieces (Hushed),Andrew Belle,acoustic,59,0.52,0.279,0.0951,69.642,Medium,Low Energy
Mirrors,Boyce Avenue;Fifth Harmony,acoustic,57,0.545,0.658,0.683,76.971,Medium,Medium Energy
Stand by Me,Boyce Avenue,acoustic,60,0.728,0.266,0.307,115.189,Medium,Low Energy
Losing Me,Gabrielle Aplin;JP Cooper,acoustic,61,0.66,0.407,0.257,133.86,Medium,Medium Energy
なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,49,0.357,0.161,0.325,83.449,Medium,Low Energy
You’re Beautiful - Acoustic,John Adams,acoustic,55,0.479,0.154,0.36,147.207,Medium,Low Energy
Hikare Inochi,Kitri,acoustic,51,0.592,0.769,0.385,102.033,Medium,High Energy
How To Lose a Girl,Tyler Ward,acoustic,46,0.7,0.454,0.34,80.011,Medium,Medium Energy
Can’t Help Falling in Love,Boyce Avenue,acoustic,57,0.402,0.197,0.148,100.044,Medium,Low Energy
Dive Deep (Hushed),Andrew Belle,acoustic,58,0.507,0.378,0.085,135.86,Medium,Medium Energy
When the Party's over (Acoustic Piano),Ben Woodward,acoustic,51,0.619,0.226,0.188,124.96,Medium,Low Energy
Boston,Augustana,acoustic,63,0.404,0.571,0.29,147.01,Medium,Medium Energy
Living in the Shadows,Matthew Perryman Jones,acoustic,53,0.418,0.79,0.197,175.975,Medium,High Energy
In Case You Didn’t Know,Boyce Avenue,acoustic,60,0.633,0.299,0.341,147.549,Medium,Low Energy
death bed (coffee for your head),Andrew Foy;Renee Foy,acoustic,47,0.565,0.0392,0.601,125.399,Medium,Low Energy
You Are My Sunshine,Kina Grannis,acoustic,60,0.664,0.0755,0.575,80.004,Medium,Low Energy
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,67,0.65,0.271,0.21,78.036,High,Low Energy
Only Love Can Hurt Like This,Meg Birch,acoustic,43,0.534,0.213,0.0998,98.385,Medium,Low Energy
Mr Blue,Catherine Feeny,acoustic,54,0.456,0.386,0.612,165.733,Medium,Medium Energy
Do Not Let Me Go,Joshua Hyslop,acoustic,60,0.409,0.234,0.145,139.832,Medium,Low Energy
Holding On And Letting Go,Ross Copperman,acoustic,49,0.502,0.53,0.102,78.046,Medium,Medium Energy
You Already Know,JJ Heller,acoustic,57,0.496,0.117,0.318,78.068,Medium,Low Energy
Believer (Remix),Ben Woodward,acoustic,42,0.585,0.724,0.333,187.484,Medium,High Energy
Collide - Acoustic Version,Howie Day,acoustic,67,0.582,0.253,0.294,90.186,High,Low Energy
Love Like This,Ben Rector,acoustic,61,0.637,0.14,0.392,139.78,Medium,Low Energy
Come On Get Higher,Matt Nathanson,acoustic,71,0.672,0.623,0.617,92.018,High,Medium Energy
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,49,0.422,0.272,0.113,143.413,Medium,Low Energy
Kiss Me Slowly,Parachute,acoustic,61,0.47,0.801,0.431,173.92,Medium,High Energy
Without You,Parachute,acoustic,61,0.564,0.864,0.534,95.984,Medium,High Energy
Absolutely Zero,Jason Mraz,acoustic,20,0.521,0.495,0.116,135.061,Low,Medium Energy
Sleep All Day,Jason Mraz,acoustic,22,0.616,0.81,0.79,97.994,Low,High Energy
You and I Both,Jason Mraz,acoustic,35,0.615,0.812,0.74,98.954,Medium,High Energy
Long Nights,Eddie Vedder,acoustic,60,0.478,0.305,0.0974,108.66,Medium,Low Energy
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,59,0.479,0.541,0.321,85.994,Medium,Medium Energy
Suddenly I See,KT Tunstall,acoustic,73,0.587,0.767,0.664,100.38,High,High Energy
Who Needs Shelter,Jason Mraz,acoustic,22,0.514,0.569,0.264,142.597,Low,Medium Energy
No Stopping Us,Jason Mraz,acoustic,19,0.646,0.836,0.727,105.991,Low,High Energy
I'll Do Anything,Jason Mraz,acoustic,24,0.57,0.711,0.648,163.117,Low,High Energy
Make You Feel My Love,JJ Heller,acoustic,57,0.678,0.199,0.262,72.006,Medium,Low Energy
The Remedy (I Won't Worry),Jason Mraz,acoustic,35,0.589,0.867,0.795,94.52,Medium,High Energy
Too Much Food,Jason Mraz,acoustic,20,0.626,0.926,0.548,99.997,Low,High Energy
The Boy's Gone,Jason Mraz,acoustic,18,0.686,0.556,0.36,112.997,Low,Medium Energy
"On Love, in Sadness",Jason Mraz,acoustic,19,0.56,0.832,0.802,100.957,Low,High Energy
Curbside Prophet,Jason Mraz,acoustic,23,0.619,0.793,0.892,177.991,Low,High Energy
"Tonight, Not Again - Live",Jason Mraz,acoustic,19,0.56,0.278,0.594,102.187,Low,Low Energy
"Tonight, Not Again",Jason Mraz,acoustic,18,0.595,0.805,0.359,102.44,Low,High Energy
Hard Sun,Eddie Vedder,acoustic,65,0.438,0.827,0.645,143.377,Medium,High Energy
Here with Me,Susie Suh;Robot Koch,acoustic,55,0.582,0.375,0.106,129.909,Medium,Medium Energy
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,47,0.453,0.295,0.14,146.022,Medium,Low Energy
Collide,Howie Day,acoustic,56,0.636,0.625,0.342,93.931,Medium,Medium Energy
get better,Eden Elf;Ren Avel,acoustic,53,0.639,0.201,0.4,88.107,Medium,Low Energy
Sympathy,Kitri,acoustic,49,0.69,0.423,0.59,130.121,Medium,Medium Energy
Let It Go,Boyce Avenue;Rachel Grae,acoustic,51,0.599,0.349,0.444,147.913,Medium,Medium Energy
What You Need,Chord Overstreet,acoustic,53,0.519,0.264,0.192,140.354,Medium,Low Energy
100 Years,Five For Fighting,acoustic,66,0.643,0.569,0.275,120.507,Medium,Medium Energy
You're the Sea,Andrew Belle,acoustic,56,0.573,0.624,0.529,161.025,Medium,Medium Energy
No Direction,Rachael Yamagata,acoustic,47,0.654,0.821,0.613,111.958,Medium,High Energy
Belong,Cary Brothers,acoustic,51,0.426,0.399,0.217,115.979,Medium,Medium Energy
As It Was,The Mayries,acoustic,55,0.505,0.21,0.323,80.721,Medium,Low Energy
Chi Mai,Joseph Sullinger,acoustic,40,0.739,0.287,0.557,80.64,Medium,Low Energy
Had It All,Parachute,acoustic,55,0.606,0.54,0.249,79.952,Medium,Medium Energy
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,50,0.595,0.646,0.563,120.049,Medium,Medium Energy
Whole Again - Acoustic Version,Tobey Rosen,acoustic,52,0.736,0.145,0.235,129.832,Medium,Low Energy
Overpass Graffiti,The Mayries,acoustic,54,0.479,0.126,0.279,96.327,Medium,Low Energy
Love Song,Sara Bareilles,acoustic,73,0.583,0.786,0.573,123.055,High,High Energy
Let Her Go,Andrew Foy;Renee Foy,acoustic,38,0.549,0.291,0.376,75.153,Medium,Low Energy
Brighter Than Sunshine,Aqualung,acoustic,53,0.418,0.489,0.398,72.891,Medium,Medium Energy
Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,55,0.498,0.12,0.338,121.187,Medium,Low Energy
Mujer con Abanico,Agustín Amigó;Nylonwings,acoustic,41,0.769,0.135,0.471,103.939,Medium,Low Energy
In the Shadows,Amy Stroup,acoustic,46,0.434,0.469,0.0568,136.282,Medium,Medium Energy
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,63,0.452,0.198,0.217,119.499,Medium,Low Energy
The Story,Brandi Carlile,acoustic,66,0.544,0.5,0.177,93.621,Medium,Medium Energy
Better,JJ Heller,acoustic,54,0.662,0.187,0.233,104.988,Medium,Low Energy
Iris,Kina Grannis,acoustic,62,0.497,0.13,0.179,130.769,Medium,Low Energy
Rockabye - Acoustic Version,The Mayries,acoustic,57,0.528,0.291,0.355,76.805,Medium,Low Energy
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,acoustic,68,0.461,0.522,0.446,157.768,High,Medium Energy
Beautiful Soul,Boyce Avenue,acoustic,62,0.483,0.506,0.705,87.337,Medium,Medium Energy
Let's See What The Night Can Do,Jason Mraz,acoustic,53,0.392,0.423,0.288,113.537,Medium,Medium Energy
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,44,0.42,0.2,0.164,87.248,Medium,Low Energy
Forever And Always,Parachute,acoustic,57,0.657,0.716,0.435,93.924,Medium,High Energy
Fine On The Outside,Priscilla Ahn,acoustic,52,0.495,0.185,0.196,101.89,Medium,Low Energy
Tortured Soul,Chord Overstreet,acoustic,53,0.55,0.499,0.144,86.966,Medium,Medium Energy
I Believe in You,JJ Heller,acoustic,53,0.534,0.359,0.267,131.804,Medium,Medium Energy
At Home,Jon Bryant,acoustic,55,0.378,0.52,0.357,73.744,Medium,Medium Energy
"Portland, Maine",Donovan Woods,acoustic,66,0.606,0.349,0.156,80.071,Medium,Medium Energy
Holding On and Letting Go,Ross Copperman,acoustic,49,0.486,0.555,0.0992,77.987,Medium,Medium Energy
The Flood,Joshua Hyslop,acoustic,60,0.577,0.446,0.262,81.005,Medium,Medium Energy
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,38,0.59,0.407,0.276,145.852,Medium,Medium Energy
Out of My League,Stephen Speaks,acoustic,67,0.538,0.315,0.4,91.921,High,Low Energy
Say Something,A Great Big World,acoustic,57,0.447,0.158,0.142,140.942,Medium,Low Energy
Rise,Eddie Vedder,acoustic,60,0.401,0.58,0.526,173.277,Medium,Medium Energy
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,acoustic,64,0.502,0.311,0.4,107.612,Medium,Low Energy
ひまわりの約束,Motohiro Hata,acoustic,61,0.523,0.445,0.336,78.957,Medium,Medium Energy
Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,50,0.538,0.162,0.366,94.981,Medium,Low Energy
"One more time,One more chance",Masayoshi Yamazaki,acoustic,47,0.519,0.429,0.396,129.491,Medium,Medium Energy
Creep,Kina Grannis,acoustic,58,0.585,0.103,0.179,133.057,Medium,Low Energy
Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,30,0.578,0.763,0.394,96.808,Low,High Energy
Hyouriittai,YUZU,acoustic,52,0.223,0.891,0.333,159.888,Medium,High Energy
How Long Will I Love You,Canyon City,acoustic,55,0.382,0.157,0.224,136.11,Medium,Low Energy
Binibini,Zack Tabudlo,acoustic,67,0.642,0.374,0.0979,129.863,High,Medium Energy
You Were Supposed to Be Different,Aron Wright,acoustic,45,0.436,0.239,0.137,73.761,Medium,Low Energy
Thinking out Loud,Boyce Avenue,acoustic,56,0.702,0.326,0.628,79.904,Medium,Low Energy
Perfect / Style,Jonah Baker,acoustic,37,0.593,0.292,0.375,111.121,Medium,Low Energy
Poison & Wine,The Civil Wars,acoustic,54,0.285,0.186,0.203,153.848,Medium,Low Energy
You And I,Ingrid Michaelson,acoustic,63,0.698,0.285,0.53,135.027,Medium,Low Energy
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,acoustic,58,0.601,0.439,0.275,99.976,Medium,Medium Energy
Breathe (2 AM),Anna Nalick,acoustic,65,0.386,0.452,0.287,169.837,Medium,Medium Energy
Habang Buhay,Zack Tabudlo,acoustic,69,0.62,0.668,0.183,118.013,High,High Energy
Beautiful Soul,Jonah Baker,acoustic,44,0.394,0.281,0.485,90.044,Medium,Low Energy
Bulletproof,Ben Woodward,acoustic,39,0.59,0.552,0.635,155.101,Medium,Medium Energy
Spectrum,Andrew Belle,acoustic,54,0.539,0.717,0.212,117.973,Medium,High Energy
Girls Like You - Acoustic Version,Jonah Baker,acoustic,44,0.543,0.138,0.3,115.65,Medium,Low Energy
Nangangamba,Zack Tabudlo,acoustic,70,0.62,0.547,0.208,98.032,High,Medium Energy
Better Together,Us The Duo,acoustic,64,0.761,0.311,0.553,109.891,Medium,Low Energy
Heartbreak Anniversary,Andrew Foy;Renee Foy,acoustic,40,0.674,0.122,0.339,130.014,Medium,Low Energy
One More Time Around,Tyler Ward;Karis;Ray Lorraine,acoustic,47,0.429,0.358,0.187,134.279,Medium,Medium Energy
Heart Can’t Lose,Zack Tabudlo,acoustic,55,0.647,0.567,0.374,125.871,Medium,Medium Energy
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,acoustic,57,0.322,0.213,0.16,160.389,Medium,Low Energy
Empty,Ray LaMontagne,acoustic,48,0.482,0.381,0.42,81.712,Medium,Medium Energy
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic,54,0.393,0.207,0.262,163.99,Medium,Low Energy
The Reason,Tim Halperin,acoustic,53,0.423,0.207,0.209,149.664,Medium,Low Energy
Fix You,Canyon City,acoustic,60,0.522,0.152,0.133,144.055,Medium,Low Energy
Hand to Hold,JJ Heller,acoustic,54,0.547,0.313,0.261,133.737,Medium,Low Energy
Hold You in My Arms,Ray LaMontagne,acoustic,62,0.504,0.321,0.577,170.134,Medium,Low Energy
One Last Dance,Us The Duo,acoustic,51,0.466,0.161,0.171,139.167,Medium,Low Energy
Heaven,Boyce Avenue;Megan Nicole,acoustic,61,0.619,0.28,0.292,129.948,Medium,Low Energy
The Spark - Bonus Track,Joshua Hyslop,acoustic,51,0.596,0.429,0.229,148.086,Medium,Medium Energy
American Beauty,Drew Holcomb & The Neighbors,acoustic,63,0.645,0.169,0.178,167.826,Medium,Low Energy
Such A Simple Thing,Ray LaMontagne,acoustic,65,0.522,0.256,0.13,76.349,Medium,Low Energy
Colors,Amos Lee,acoustic,64,0.681,0.168,0.29,128.615,Medium,Low Energy
Someone You Loved,Boyce Avenue,acoustic,57,0.736,0.364,0.371,110.023,Medium,Medium Energy
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,acoustic,54,0.451,0.528,0.527,139.28,Medium,Medium Energy
Flurry Rush,Days N Daze,acoustic,37,0.371,0.674,0.92,87.603,Medium,High Energy
I Choose You,Sara Bareilles,acoustic,63,0.731,0.572,0.947,154.038,Medium,Medium Energy
I Do Adore,Mindy Gledhill,acoustic,53,0.69,0.334,0.8,74.721,Medium,Medium Energy
Fuck You,Get Dead,acoustic,36,0.608,0.917,0.936,117.875,Medium,High Energy
If I Ain't Got You - Acoustic,John Adams,acoustic,55,0.652,0.15,0.361,104.018,Medium,Low Energy
Believe - Acoustic,John Adams,acoustic,57,0.765,0.241,0.182,123.95,Medium,Low Energy
Iris - Acoustic,Adam Christopher,acoustic,54,0.589,0.249,0.363,150.096,Medium,Low Energy
Rain - Long Ver.,Motohiro Hata,acoustic,44,0.588,0.604,0.351,92.02,Medium,Medium Energy
C'est si bon,Aoi Teshima,acoustic,51,0.735,0.203,0.479,113.913,Medium,Low Energy
Baby (Acoustic Version),Jonah Baker,acoustic,42,0.655,0.147,0.328,116.103,Medium,Low Energy
Reason,YUZU,acoustic,47,0.363,0.819,0.468,122.527,Medium,High Energy
I Like Me Better,Boyce Avenue;Emma Heesters,acoustic,54,0.473,0.263,0.315,87.145,Medium,Low Energy
Asan Ka Na Ba,Zack Tabudlo,acoustic,73,0.676,0.768,0.493,105.999,High,High Energy
A Thousand Years,Boyce Avenue,acoustic,56,0.41,0.221,0.228,139.529,Medium,Low Energy
drivers license,Thomas Daniel,acoustic,56,0.439,0.217,0.373,144.413,Medium,Low Energy
Love Someone,Jason Mraz,acoustic,59,0.582,0.347,0.0797,97.957,Medium,Medium Energy
The Winner Takes It All - Acoustic,Jae Hall,acoustic,57,0.426,0.127,0.149,62.535,Medium,Low Energy
Only Time,Aaron Espe,acoustic,56,0.696,0.261,0.361,136.053,Medium,Low Energy
Almost Lover,A Fine Frenzy,acoustic,57,0.549,0.24,0.167,119.58,Medium,Low Energy
Dance Monkey,Roses & Frey,acoustic,51,0.541,0.192,0.317,139.938,Medium,Low Energy
Ocean,Parachute,acoustic,48,0.662,0.711,0.352,119.989,Medium,High Energy
Dream a Little Dream of Me,Kina Grannis,acoustic,52,0.665,0.185,0.458,82.474,Medium,Low Energy
Back For Good,The Mayries,acoustic,54,0.591,0.175,0.352,139.902,Medium,Low Energy
OK,Canyon City,acoustic,55,0.489,0.183,0.486,79.961,Medium,Low Energy
Just The Two Of Us,Andrew Foy;Renee Foy,acoustic,41,0.618,0.083,0.597,90.865,Medium,Low Energy
Hey There Delilah,Boyce Avenue,acoustic,49,0.664,0.319,0.258,105.036,Medium,Low Energy
Arcade,Andrew Foy;Renee Foy,acoustic,37,0.408,0.266,0.35,143.651,Medium,Low Energy
Yellow,Kina Grannis,acoustic,52,0.623,0.132,0.266,82.105,Medium,Low Energy
Wake Me Up,Roses & Frey,acoustic,58,0.494,0.214,0.35,125.981,Medium,Low Energy
Walking Blind,Aidan Hawken,acoustic,48,0.374,0.183,0.134,82.042,Medium,Low Energy
Headphones,Jon Bryant,acoustic,56,0.559,0.455,0.396,159.985,Medium,Medium Energy
Teenage Dream,The Rescues,acoustic,46,0.642,0.408,0.411,119.81,Medium,Medium Energy
The Worth Of The Wait,Ivan & Alyosha,acoustic,55,0.48,0.618,0.344,82.051,Medium,Medium Energy
Can't Help Falling In Love - Piano Version,Kina Grannis,acoustic,54,0.271,0.0937,0.147,164.721,Medium,Low Energy
Never Come Back Again,Austin Plaine,acoustic,57,0.594,0.695,0.172,104.977,Medium,High Energy
Love You To Death,Chord Overstreet,acoustic,49,0.574,0.344,0.0987,147.924,Medium,Medium Energy
Someone You Loved - Acoustic,Plamina,acoustic,55,0.647,0.298,0.31,106.244,Medium,Low Energy
What a Wonderful World,Kina Grannis;Imaginary Future,acoustic,51,0.486,0.0399,0.155,95.066,Medium,Low Energy
You Broke Me First,Andrew Foy;Renee Foy,acoustic,39,0.734,0.0423,0.14,123.905,Medium,Low Energy
Long Way Down,Joshua Hyslop,acoustic,60,0.711,0.231,0.186,125.062,Medium,Low Energy
She Is Love,Parachute,acoustic,60,0.629,0.174,0.305,134.295,Medium,Low Energy
Marigold,Phillip LaRue,acoustic,53,0.615,0.406,0.541,166.035,Medium,Medium Energy
12:51,krissy & ericka,acoustic,64,0.503,0.357,0.438,136.135,Medium,Medium Energy
サンサーラ,Takehara Pistol,acoustic,34,0.45,0.183,0.219,61.192,Medium,Low Energy
Sons and Daughters,Allman Brown;Liz Lawrence,acoustic,50,0.525,0.461,0.202,147.997,Medium,Medium Energy
Brand New,Ben Rector,acoustic,65,0.555,0.934,0.422,144.874,Medium,High Energy
Gotta Have You,The Weepies;Deb Talan;Steve Tannen,acoustic,56,0.678,0.363,0.543,75.004,Medium,Medium Energy
"30,000 Feet",Ben Rector,acoustic,57,0.555,0.452,0.321,179.921,Medium,Medium Energy
A Thousand Years,Eddy Tyler,acoustic,43,0.586,0.396,0.16,142.591,Medium,Medium Energy
Jolene,Ray LaMontagne,acoustic,64,0.588,0.142,0.288,119.656,Medium,Low Energy
No Ceiling,Eddie Vedder,acoustic,58,0.724,0.652,0.75,106.911,Medium,Medium Energy
Front Porch,Joy Williams,acoustic,64,0.567,0.224,0.2,124.44,Medium,Low Energy
Goodbye Lulu,Days N Daze,acoustic,35,0.544,0.839,0.967,87.609,Medium,High Energy
Three More Days,Ray LaMontagne,acoustic,36,0.555,0.68,0.903,84.518,Medium,High Energy
Isn't She Lovely - Acoustic,Callum J Wright,acoustic,54,0.69,0.306,0.424,115.671,Medium,Low Energy
We Could Still Be Happy,Rachael Yamagata,acoustic,43,0.513,0.317,0.177,84.853,Medium,Low Energy
Fix You - Acoustic,John Adams,acoustic,49,0.494,0.152,0.304,134.178,Medium,Low Energy
I'm Yours - Acoustic,Lusaint,acoustic,55,0.634,0.267,0.391,143.514,Medium,Low Energy
Closer,Boyce Avenue;Sarah Hyland,acoustic,54,0.694,0.471,0.466,95.003,Medium,Medium Energy
A Sky Full of Stars,Mother's Daughter;Beck Pete,acoustic,55,0.643,0.11,0.152,101.995,Medium,Low Energy
I Don't Believe in Satan,Aron Wright,acoustic,39,0.422,0.41,0.354,83.952,Medium,Medium Energy
Pills,The Perishers,acoustic,51,0.543,0.288,0.293,95.435,Medium,Low Energy
Shallow - Acoustic,Tyler Ward;Madysyn,acoustic,52,0.332,0.282,0.234,187.057,Medium,Low Energy
Watermelon Sugar - Acoustic,Jonah Baker,acoustic,56,0.43,0.121,0.461,91.211,Medium,Low Energy
Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,acoustic,48,0.432,0.197,0.348,163.985,Medium,Low Energy
Call You Mine (Acoustic Piano),Ben Woodward,acoustic,40,0.733,0.297,0.766,103.953,Medium,Low Energy
For Now,Kina Grannis,acoustic,57,0.394,0.249,0.329,79.549,Medium,Low Energy
Sweet Dream,Greg Laswell,acoustic,53,0.41,0.234,0.19,93.72,Medium,Low Energy
Love Nwantiti,Andrew Foy,acoustic,30,0.48,0.158,0.498,86.107,Low,Low Energy
Stars Are on Your Side,Ross Copperman,acoustic,49,0.255,0.625,0.191,84.611,Medium,Medium Energy
We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker;Sara Phillips,acoustic,26,0.524,0.328,0.599,99.941,Low,Low Energy
Superman,Joe Brooks,acoustic,53,0.464,0.653,0.416,162.196,Medium,Medium Energy
Chasing Cars,Boyce Avenue,acoustic,52,0.659,0.331,0.0877,105.01,Medium,Medium Energy
Calm Me Down,Zack Tabudlo,acoustic,51,0.592,0.49,0.437,99.994,Medium,Medium Energy
KISSして,Masaharu Fukuyama,acoustic,35,0.467,0.851,0.644,93.873,Medium,High Energy
Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo;James TW,acoustic,54,0.564,0.391,0.101,130.03,Medium,Medium Energy
Left for America,Ciaran Lavery,acoustic,50,0.498,0.384,0.25,79.856,Medium,Medium Energy
Ramparts,John Frusciante,acoustic,53,0.386,0.428,0.73,172.311,Medium,Medium Energy
Hold On - Acoustic,Chord Overstreet,acoustic,48,0.702,0.259,0.246,120.102,Medium,Low Energy
Dust to Dust,The Civil Wars,acoustic,49,0.747,0.265,0.2,138.017,Medium,Low Energy
Good night,Masaharu Fukuyama,acoustic,35,0.522,0.498,0.221,145.908,Medium,Medium Energy
